triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
HeraRef_Hdem_Hsar,HeraRef,0.0,0.9509499689530488,0.0327933792034084,0.9672066207965916,0.013008045011683199,0.020152116793066086,6.16547018687838,-10.569552441485575,4615
HeraRef_Hdem_Hsar,Hdem,0.0,5.47442236643192,0.917746875198134,0.08225312480186601,0.014020291980142832,0.02025683870967742,3.0817354332020646,-7.354659688853005,186
HeraRef_Hdem_Hsar,Hsar,0.0,4.984392424320677,0.8930830645157214,0.1069169354842787,0.0156392180558745,0.023942165829145726,3.2729210242185545,-7.303456245116335,199
Hhim_Hhsa_Htel,Hhim,0.0,0.8287601502637801,0.06385813004511001,0.9361418699548901,0.00925237536766145,0.013479049534085337,5.130986916483792,-10.012067014648297,2039
Hhim_Hhsa_Htel,Hhsa,0.0,0.2533674987895797,0.3737318406182785,0.6262681593817214,0.013214007384508678,0.01438770841889117,3.8198374532716812,-8.5402630818829,487
Hhim_Hhsa_Htel,Htel,0.0,0.6518245698160383,0.04689495794395445,0.9531050420560455,0.010892501339745148,0.014778276475343575,5.387662287119877,-10.14899554170754,2474
Hhim_Hhsa_Hdem,Hhim,0.0,0.5229858932551725,0.18700856561908344,0.8129914343809166,0.0105433054143769,0.013099271465741543,4.5975005848597945,-9.459187014060777,1153
Hhim_Hhsa_Hdem,Hhsa,0.0,0.2685136422465058,0.7253602017019327,0.27463979829806734,0.014643576270848365,0.015266988235294116,3.5119929042582303,-8.144004706035131,340
Hhim_Hhsa_Hdem,Hdem,0.0,0.4964206134434342,0.048610096501624685,0.9513899034983754,0.012789557540650861,0.016151953236384374,5.809496843783041,-10.441841911925064,3507
Hhim_Hhsa_Hsar,Hhim,0.0,0.4819739581827087,0.17260376319786006,0.82739623680214,0.011108483994005302,0.013603949870354366,4.623927729761203,-9.439851311479728,1157
Hhim_Hhsa_Hsar,Hhsa,0.0,0.26207953053816524,0.8395225674604944,0.1604774325395057,0.01503360446315451,0.01540235798816568,3.513770581247522,-8.132548828968684,338
Hhim_Hhsa_Hsar,Hsar,0.0,0.4845122060705433,0.04350214482456457,0.9564978551754353,0.0130502388191215,0.01640370727532097,5.81879388403021,-10.431350677216937,3505
Hhim_Htel_Hdem,Hhim,0.0,0.4021284279939023,0.2657892516884758,0.7342107483115241,0.009830192855850375,0.011462622476446839,4.789651087566845,-9.791382095696148,1486
Hhim_Htel_Hdem,Htel,0.0,0.5968941200001292,0.1693769686398826,0.8306230313601174,0.007915976789985764,0.010190536637931034,4.229854445577054,-9.387271434487818,928
Hhim_Htel_Hdem,Hdem,0.0,0.44020795284337766,0.08683084082277179,0.9131691591772284,0.009904409885914197,0.012125406032482598,5.347520667453644,-10.312729956645013,2586
Hhim_Htel_Hsar,Hhim,0.0,0.37184935224279925,0.2403613069411877,0.7596386930588124,0.010372480082959969,0.0120011918175721,4.818589056876313,-9.768090558146525,1491
Hhim_Htel_Hsar,Htel,0.0,0.5581144555233536,0.19803162022865708,0.8019683797713429,0.008188284597851227,0.010318905639913232,4.236408043631705,-9.373791580407516,922
Hhim_Htel_Hsar,Hsar,0.0,0.4154502874493525,0.1040248351042742,0.8959751648957258,0.010326145220258136,0.01246555315036722,5.36871275268966,-10.296835661062335,2587
Hhim_Hdem_Hsar,Hhim,0.0,0.9545308103358978,0.0329777637562845,0.9670222362437153,0.012991723122730956,0.02015177772963605,6.165739852308498,-10.569780688625812,4616
Hhim_Hdem_Hsar,Hdem,0.0,7.716199701980442,0.961310850857171,0.03868914914282898,0.01683069451490062,0.021744271739130433,3.09556416189829,-7.294361601247806,184
Hhim_Hdem_Hsar,Hsar,0.0,4.601305351496122,0.8827163018000002,0.11728369819999987,0.015631216471346285,0.024179095000000005,3.2932376268792662,-7.301247243369164,200
Hhsa_Htel_Hdem,Hhsa,0.0,0.31177905989553395,0.3989879386273959,0.6010120613726041,0.011367023818685795,0.012558845804988663,4.333475337596795,-9.216362978877356,882
Hhsa_Htel_Hdem,Htel,0.0,0.591041020220902,0.11772678168367755,0.8822732183163225,0.008945233611744884,0.011602895328719724,4.514276001422303,-9.533234437722507,1156
Hhsa_Htel_Hdem,Hdem,0.0,1.2361071995690411,0.4573772923190602,0.5426227076809398,0.01077819140981054,0.01548842437542201,5.672415621426989,-10.299607767577845,2962
Hhsa_Htel_Hsar,Hhsa,0.0,0.2948926986006797,0.38251401105493305,0.617485988945067,0.011902634472320265,0.013099823927765236,4.3626977298351814,-9.195756153911512,886
Hhsa_Htel_Hsar,Htel,0.0,0.5587903139919729,0.11944153675521903,0.880558463244781,0.009266445516939264,0.011852257536606374,4.533048135484268,-9.525208773050743,1161
Hhsa_Htel_Hsar,Hsar,0.0,1.202153508897511,0.48028456138270553,0.5197154386172944,0.011156645054673656,0.01572570978665764,5.681382024399333,-10.286942029432566,2953
Hhsa_Hdem_Hsar,Hhsa,0.0,0.9575977121520413,0.029374143824823562,0.9706258561751765,0.011797229522000293,0.018314396604938273,6.087762170055537,-10.617070641364213,4536
Hhsa_Hdem_Hsar,Hdem,0.0,4.785990150127112,0.9124251974953067,0.08757480250469332,0.013567516430905195,0.01952432340425532,3.3018761805986507,-7.613745928520297,235
Hhsa_Hdem_Hsar,Hsar,0.0,6.622106552573396,0.9237262778652138,0.07627372213478617,0.014313572161288389,0.021061403508771927,3.2901673686125967,-7.53120783946749,228
Htel_Hdem_Hsar,Htel,0.0,1.0625544464822676,0.03049310735681537,0.9695068926431845,0.011432825903856147,0.018547987804878048,6.096467213635179,-10.62087378879006,4592
Htel_Hdem_Hsar,Hdem,0.0,0.2862578455200706,0.8991908902334882,0.10080910976651174,0.021421246949090388,0.02179060576923077,3.260560181839381,-7.4154582013548715,208
Htel_Hdem_Hsar,Hsar,0.0,6.11266679087169,0.9192298880644552,0.08077011193554486,0.015506488942199179,0.022821059999999997,3.219991019673081,-7.34327064945377,200
